,Title,Publication type,Link to publication,Abstract,Zotero link,Date published,FirstName2,Publisher,Journal,Date added,Col key
0,Spy fiction and terrorism,Journal article,https://doi.org/10.1080/02684529008432085,,https://www.zotero.org/groups/intelligence_bibliography/items/NL4TXV3L,1990-10-01,Philip Jenkins,,Intelligence and National Security,2024-01-27T09:22:37Z,['9YH9YSYQ']
1,Ethics and spy fiction,Journal article,https://doi.org/10.1080/02684529008432084,,https://www.zotero.org/groups/intelligence_bibliography/items/RIWN3HVN,1990-10-01,J.J. MacIntosh,,Intelligence and National Security,2024-01-27T09:22:21Z,['9YH9YSYQ']
2,"Our man in Havana, their man in Madrid: Literary invention in espionage fact and fiction",Journal article,https://doi.org/10.1080/02684529008432082,,https://www.zotero.org/groups/intelligence_bibliography/items/Q7YUVWFP,1990-10-01,Denis Smyth,,Intelligence and National Security,2024-01-27T09:21:55Z,['9YH9YSYQ']
3,Ireland in spy fiction,Journal article,https://doi.org/10.1080/02684529008432081,,https://www.zotero.org/groups/intelligence_bibliography/items/P73L6QWE,1990-10-01,"Keith Jeffery, Eunan O'Halpin",,Intelligence and National Security,2024-01-27T09:21:36Z,['9YH9YSYQ']
4,English spy thrillers in the age of appeasement,Journal article,https://doi.org/10.1080/02684529008432080,,https://www.zotero.org/groups/intelligence_bibliography/items/J6DF3WHF,1990-10-01,Eric Homberger,,Intelligence and National Security,2024-01-27T09:21:18Z,['9YH9YSYQ']
5,Decoding German spies: British spy fiction 1908–18,Journal article,https://doi.org/10.1080/02684529008432079,,https://www.zotero.org/groups/intelligence_bibliography/items/DMXJBZ7S,1990-10-01,Nicholas Hiley,,Intelligence and National Security,2024-01-27T09:21:05Z,['9YH9YSYQ']
6,The politics of adventure in the early British spy novel,Journal article,https://doi.org/10.1080/02684529008432078,,https://www.zotero.org/groups/intelligence_bibliography/items/63Z58XKG,1990-10-01,David Trotter,,Intelligence and National Security,2024-01-27T09:20:47Z,['9YH9YSYQ']
7,Secret negotiations: The Spy figure in Nineteenth‐century American popular fiction,Journal article,https://doi.org/10.1080/02684529008432077,,https://www.zotero.org/groups/intelligence_bibliography/items/6DL265L7,1990-10-01,Christine Bold,,Intelligence and National Security,2024-01-27T09:20:32Z,['9YH9YSYQ']
8,Review of the Canadian security intelligence service: A suitable model for the United Kingdom?,Journal article,https://doi.org/10.1080/02684529008432070,,https://www.zotero.org/groups/intelligence_bibliography/items/LBMNSLRR,1990-07-01,Joseph F. Ryan,,Intelligence and National Security,2024-01-27T09:20:03Z,"['CK5MNYPQ', 'AZ3BZ9BR']"
9,The Changkufeng/Lake Khasan incident of 1938: British intelligence on Soviet and Japanese military performance,Journal article,https://doi.org/10.1080/02684529008432069,,https://www.zotero.org/groups/intelligence_bibliography/items/IGGFVHUX,1990-07-01,Paul W. Doerr,,Intelligence and National Security,2024-01-27T09:19:38Z,['MP7FJ9UA']
10,"Deception for St. Mihiel, 1918",Journal article,https://www.tandfonline.com/doi/abs/10.1080/02684529008432067,"(1990). Deception for St. Mihiel, 1918. Intelligence and National Security: Vol. 5, No. 3, pp. 158-175.",https://www.zotero.org/groups/intelligence_bibliography/items/QC6SVCYR,1990-7-1,Rod Paschall,,Intelligence and National Security,2024-01-27T09:19:14Z,"['BNPYHVD4', 'RHJFPRAI']"
11,Roger Hollis and the dangers of the Anglo‐Soviet treaty of 1942,Journal article,https://doi.org/10.1080/02684529008432066,,https://www.zotero.org/groups/intelligence_bibliography/items/MSH9YAVP,1990-07-01,Sheila Kerr,,Intelligence and National Security,2024-01-27T09:18:46Z,['SCCGXHMZ']
12,Congressional oversight of intelligence: Search for a framework,Journal article,https://doi.org/10.1080/02684529008432065,,https://www.zotero.org/groups/intelligence_bibliography/items/ZNI9FZFN,1990-07-01,William H. Jackson Jr.,,Intelligence and National Security,2024-01-27T09:18:14Z,['DVEM4H4W']
13,"Politico‐Military deception at Sea in the Spanish civil war, 1936–39",Journal article,https://doi.org/10.1080/02684529008432064,,https://www.zotero.org/groups/intelligence_bibliography/items/CS9WK8MP,1990-07-01,Willard C. Frank Jr.,,Intelligence and National Security,2024-01-27T09:17:48Z,"['RHJFPRAI', 'MP7FJ9UA']"
14,"Intelligence and counter‐insurgency in Kenya, 1952–56",Journal article,https://doi.org/10.1080/02684529008432063,,https://www.zotero.org/groups/intelligence_bibliography/items/4TUZMJ9T,1990-07-01,Randall W. Heather,,Intelligence and National Security,2024-01-27T09:17:22Z,"['CZT6L9T7', 'TLFN4NAL']"
