,Title,Publication type,Link to publication,Abstract,Zotero link,Date published,FirstName2,Publisher,Journal,Date added,Col key,DOI,Book_title,Thesis_type,University,Collection_Key,Collection_Name,Collection_Link,ID,Citation,OA status,Citation_list,First_citation_year,Last_citation_year,Publication_year,OA_link,Year_difference
0,"Spies, Scientists, and Cold War Fictions",Book,https://www.bloomsbury.com/uk/spies-scientists-and-cold-war-fictions-9781350425514/,"During the Cold War, science and spy fiction moved from the cultural margins to reach new heights of popularity. Spies, Scientists, and Cold War Fictions explores how these genres didn't just reflect the era – they shaped the diplomatic, military, and scientific realities of the day.
Joshua A. Sanborn traces the relationship between adventure narratives, the emerging roles of scientists and spies, and the superpower rivalry. Drawing on works like Ian Fleming's From Russia With Love, Philip K. Dick's Do Androids Dream of Electric Sheep?, Tom Clancy's The Hunt for Red October, and the Soviet classic Andromeda Nebula, Sanborn shows how real events, from the rise of Soviet 'science cities' to the development of the U-2 spy plane, often felt torn from the very pages of these novels.
Blending cultural history with literary analysis, this book offers a guided tour through the Cold War imagination, revealing how fiction and fact intertwined in shaping a world on the brink of annihilation.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/WPIYCTE6,2027-01-21,Joshua A. Sanborn,Bloomsbury,,2026-07-27T07:07:34Z,['CZT6L9T7'],,,Unclassified,,CZT6L9T7,01.7 Cold War,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/CZT6L9T7,,,,,,,,,
1,Counterintelligence for Hybrid Threats in Large-Scale Joint Operations: A Divisional Model from the Australian Defence Force,Journal article,https://jmss.org/article/view/82758,"Democratic militaries face growing challenges from what are often labelled hybrid intelligence threats—intelligence-driven activities that combine espionage, cyber-enabled collection, insider enablement, and decision-shaping to gain decision advantage. This paper uses the Australian Defence Force (ADF) as a case study to consider how counterintelligence (CI) should be structured at the divisional level for large-scale, joint operations. Drawing on Prunckun’s theory of counterintelligence, it applies a strengths–opportunities analysis to ADF doctrine, allied practices, and historical cases to develop a principles-based CI posture. The article is normative and design-oriented: it advances a plausible organizational design under stated legal and command constraints rather than offering an empirically tested explanatory model. The proposed posture integrates CI practitioners into the divisional intelligence structure, standardizes joint CI processes at the operational headquarters, and links CI with psychological operations and defensive cyber measures at key planning stages. Within existing authorities, it also specifies conditions for limited offensive CI through deception and neutralization. The paper concludes with generalizable design propositions for democratic forces seeking to adapt CI to hybrid threats without presupposing new legislation.
 
ACKNOWLEDGMENTS
The authors wish to thank Charles Sturt University for access to its invaluable library resources.
 
DECLARATION OF CONFLICTING INTERESTS
The authors declared no potential conflicts of interest regarding the research, authorship, and/or publication of this article.
 
FUNDING
The authors advised that no financial support was provided for this article’s research, authorship, and/or publication.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/WU24IWL9,2026-06-25,"Henry Prunckun, Deakin Yates",,Journal of Military and Strategic Studies,2026-07-08T09:05:57Z,['RHJFPRAI'],10.55016/7zkkez70,,Unclassified,,RHJFPRAI,08 Counterintelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/RHJFPRAI,https://openalex.org/W7167685824,0.0,True,,,,2026.0,https://jmss.org/article/download/82758/59183,
2,"Was Justice Hope wrong? Defence, diplomacy, and assessment in Australian intelligence reform",Journal article,https://doi.org/10.1080/02684527.2026.2699161,"More than 50 years after commencing his first Royal Commission, Justice Robert Marsden Hope’s contribution to Australia’s intelligence community remains a point of almost universal acclaim in scholarship. This article offers a more revisionist interpretation of Hope as an agent of reform, exploring the weaker aspects of his thinking about intelligence and their implications for the scope of reform today. The focus is Hope’s pessimistic account of Australia’s intelligence assessment arrangements in the 1970s, which was overly critical of Defence involvement and failed to reckon with the analytical influence of Australia’s diplomatic service. Whereas much of Hope’s thinking still has value for the task of intelligence reform, his neglect of diplomatic expertise in the practice of assessment now impedes more creative thinking about the organisation of intelligence and its capacity to support Australian statecraft in the future.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/D27UN39H,2026-07-24,David Schaefer,Routledge,Intelligence and National Security,2026-07-26T09:34:34Z,['AZ3BZ9BR'],10.1080/02684527.2026.2699161,,Unclassified,,AZ3BZ9BR,14 Global intelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/AZ3BZ9BR,https://openalex.org/W7170537953,0.0,False,,,,2026.0,,
3,The Soviet intelligence illegals program in the face of counterintelligence pressure: the case of the United States and Canada,Journal article,https://doi.org/10.1080/02684527.2026.2703595,"Post-World War II Soviet intelligence illegals operations in the United States and Canada started strong in the 1940s and 1950s. However, as they experienced increasing counterintelligence pressure through penetrations, defections, and double agents, it became harder for Soviet services to place illegals in both countries. Soviet services increasingly struggled to find suitable candidates to send as illegals to the United States and Canada. This article analyzes sixty-two illegals dispatched to or designated for the United States and Canada to show that the numbers of illegals dispatched to the United States and Canada after the 1960s decreased, with many being deterred by counterintelligence activities.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/MQ9D3ELW,2026-07-24,Kevin Riehle,Routledge,Intelligence and National Security,2026-07-26T09:33:52Z,"['CZT6L9T7', 'RHJFPRAI']",10.1080/02684527.2026.2703595,,Unclassified,,CZT6L9T7,01.7 Cold War,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/CZT6L9T7,https://openalex.org/W7170251810,0.0,True,,,,2026.0,https://doi.org/10.1080/02684527.2026.2703595,
4,The Soviet intelligence illegals program in the face of counterintelligence pressure: the case of the United States and Canada,Journal article,https://doi.org/10.1080/02684527.2026.2703595,"Post-World War II Soviet intelligence illegals operations in the United States and Canada started strong in the 1940s and 1950s. However, as they experienced increasing counterintelligence pressure through penetrations, defections, and double agents, it became harder for Soviet services to place illegals in both countries. Soviet services increasingly struggled to find suitable candidates to send as illegals to the United States and Canada. This article analyzes sixty-two illegals dispatched to or designated for the United States and Canada to show that the numbers of illegals dispatched to the United States and Canada after the 1960s decreased, with many being deterred by counterintelligence activities.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/MQ9D3ELW,2026-07-24,Kevin Riehle,Routledge,Intelligence and National Security,2026-07-26T09:33:52Z,"['CZT6L9T7', 'RHJFPRAI']",10.1080/02684527.2026.2703595,,Unclassified,,RHJFPRAI,08 Counterintelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/RHJFPRAI,https://openalex.org/W7170251810,0.0,True,,,,2026.0,https://doi.org/10.1080/02684527.2026.2703595,
5,More than meets the eye: the role of trust in EU intelligence cooperation1,Journal article,https://doi.org/10.1080/02684527.2026.2700382,"Trust is one of the foremost conditions for international intelligence cooperation, yet it has seldom been operationalized in this context. Using a conceptual framework derived from interorganizational relations and sociological institutionalism, this article critically examines how trust influences EU intelligence cooperation. It concludes that trust plays a far bigger role in international intelligence cooperation than scholars and practitioners often assume. In the EU intelligence system, trust positively influences cooperation, mainly through goodwill and on a personal level. A shared occupational culture and collective identity within the European intelligence community provide an efficient basis for trust-based cooperation. By adopting a sociological approach, this article offers a more nuanced, multi-level understanding of the role of trust in international intelligence cooperation.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JI8G5YVD,2026-07-22,Pepijn Tuinier,Routledge,Intelligence and National Security,2026-07-25T08:23:39Z,['7R9UG9WU'],10.1080/02684527.2026.2700382,,Unclassified,,7R9UG9WU,02.99 Miscellaneous,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/7R9UG9WU,https://openalex.org/W7170078913,0.0,True,,,,2026.0,https://doi.org/10.1080/02684527.2026.2700382,
6,The Triumphs and Failures of France's Foreign Intel Service,Podcast,https://thecyberwire.com/podcasts/spycast/742/notes,"The DGSE, or Directorate General for External Security, is France's foreign intelligence service. It's found inside the Ministry of Defense but reports to the president. It was established under that name in 1982, learning the hard way, through a string of high-profile blunders, how to conduct espionage. The service is responsible for all sources of intelligence and has benefited from a popular TV show about its inner workings. Drawing on documents never before available, Damien Van Puyvelde, the author of the book The DGSE: A Concise History of France's Foreign Intelligence Service, traces the agency's history from its early failures to its sweeping reforms and modern-day successes.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ZEQ4K7IM,2026-07-21,Damien Van Puyvelde,,,2026-07-23T08:16:00Z,['AZ3BZ9BR'],,,Unclassified,,AZ3BZ9BR,14 Global intelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/AZ3BZ9BR,,,,,,,,,
7,Full Stack Spies: Cyber Espionage in the Age of US–China Competition,Book,https://www.hurstpublishers.com/book/full-stack-spies/,"Even the most elite hackers use common technologies to steal state secrets, which help intelligence agencies to catch them. Are these hackers simply reckless, or do their operations reveal something deeper about their nation-state patrons?

Over a globally interconnected Internet, nations must constantly toe the delicate line of maintaining stability–developing shared tech protocols that they themselves must also break, in order to spy. This is the paradox at the heart of cyber espionage: states need to cooperate if they are to compete. As the US and China vie for strategic advantage through a new form of statecraft in cyber space, an intensifying cat-and-mouse game makes cyber security more difficult, more expensive and more unpredictable for us all.

Full Stack Spies examines the dynamic, interdependent relationships that hackers, cyber defenders, tech giants and nation states forge, leverage and exploit to amass cyber power against a wide range of targets in geopolitics, global trade and finance, the armed forces, and critical infrastructure. But this jostling for cyber dominance makes spying online harder–and, more crucially, undermines long-term trust in cyber space, destabilising the foundations of digital societies.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/9DLL5IBL,2026-06-01,Ahana D. Fasel,Hurst Publishers,,2026-07-23T08:13:50Z,['8XXD789V'],,,Unclassified,,8XXD789V,10 Intelligence and cybersphere,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/8XXD789V,,,,,,,,,
8,The Role of OSINT in Supporting Battlefield Forensic Investigations,Book chapter,https://ebooks.iospress.nl/doi/10.3233/NHSDP260073,"Open-source intelligence (OSINT) has increasingly become a centrepiece of modern intelligence collection. The growing value of OSINT, specifically for conflict monitoring and the investigation of war crimes, has become most evident during the full-scale Russian invasion of Ukraine, opening avenues for further impact and analysis, including in support of battlefield forensic investigations. With particular reference to the ongoing human rights abuses in Ukraine, this publication will introduce, analyse, and highlight how OSINT can be a fundamental contributor to battlefield forensics in contemporary warfare by overcoming substantial existing limitations, such as the inability of investigators to access areas of active combat or of occupation, as well as the identification of perpetrators and the collection of digital evidence related to incidents. This methodology will be discussed at length, utilising the Russian military’s targeting of civilians in Kherson Oblast by unmanned aerial vehicles as a case study. This publication aims to contribute to the field of battlefield forensics by highlighting the efficacy of OSINT in monitoring attacks on civilians and civilian infrastructure in both extreme detail and in near real time, its impact on data collection, analysis, and archiving, and its ability to inform military personnel, government, and civil society organisations alike.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/8NJWCGPP,2026,"Andro Mathewson, Adam Campbell, Rollo Collins, Rikke Rietveld",IOS Press,,2026-07-23T06:41:20Z,['LXMU5UXP'],10.3233/NHSDP260073,Battlefield Forensics,Unclassified,,LXMU5UXP,07.4 OSINT - SOCMINT,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/LXMU5UXP,https://openalex.org/W7169578713,0.0,True,,,,2026.0,https://doi.org/10.3233/nhsdp260073,
9,"The role of women in intelligence and security services: organisational value, persistent barriers and implications for Poland",Journal article,"https://www.defencesciencereview.com.pl/The-role-of-women-in-intelligence-and-security-services-organisational-value-persistent,226048,0,2.html","Objectives:  The article examines the role of women in contemporary intelligence and security services, with particular attention to the Polish institutional environment and the Internal Security Agency (Agencja Bezpieczeństwa Wewnętrznego, ABW). It asks how women contribute across the...",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/Q4D2PH8C,,Magdalena Kowalska,,,2026-07-21T20:47:36Z,['AZ3BZ9BR'],10.37055/pno/226048,,Unclassified,,AZ3BZ9BR,14 Global intelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/AZ3BZ9BR,https://openalex.org/W7169590971,0.0,True,,,,2026.0,https://www.defencesciencereview.com.pl/pdf-226048-142504?filename=The-role-of-women-in-inte.pdf,
