,attachmentKey,parentKey,parentTitle,linkTitle,url
0,V6G7P32B,UWK47DDF,"The Scientist Turned Spy: André Michaux, Thomas Jefferson, and the Conspiracy of 1793",Book review by Ann Fabian,https://doi.org/10.1353/wmq.2025.a973906
1,9PPUVM2J,UWK47DDF,"The Scientist Turned Spy: André Michaux, Thomas Jefferson, and the Conspiracy of 1793",Book review by Sean P. Harvey,https://doi.org/10.1353/jer.2025.a969339
2,F49HVJM2,A3EJ6QXE,The White Lady: The Story of Two Key British Secret Service Networks Behind German Lines,Book review by John Raine,https://engelsbergideas.com/reviews/secret-networks-behind-enemy-lines/
3,VICBIBLQ,VRRAVR3B,The Spy and the Devil: The untold story of the MI6 agent who penetrated Hitler’s inner circle,Book review by Andrew Boyd,https://kcsi.uk/kcsi-insights/book-review-the-spy-and-the-devil-tim-willasey-wilsey
4,3M3S4NUI,4BH45YHM,The Special Operations Executive in Malaya: World War II and the Path to Independence,Book review by Augustine Meaher,https://doi.org/10.1080/03086534.2025.2560561
5,RIUKTXRG,EVPD2YPR,The Spy in the Museum: How Rose Valland Saved Art from the Nazis,Book review by Adam McConville,https://doi.org/10.1353/bcc.2025.a969960
6,PXFD92MI,IW8TQ955,A faithful spy: the life and times of an MI6 and MI5 officer,Book review by Kurt F. Jensen,https://doi.org/10.1080/02684527.2025.2557731
7,B2MRV5W9,9L4W3GF4,"Women Under Suspicion: Fraternization, Espionage, and Punishment in the Soviet Union During World War II",Book review by George Gömöri,https://muse.jhu.edu/article/969026
8,LBPK2I5Z,YCR8SG5E,Japanese Spy Gear & Special Weapons: How Noborito's Scientists and Technicians Served in the Second World War and the Cold War,Book review by Richard J. Samuels,https://doi.org/10.1080/02684527.2025.2568809
9,JL54LT39,6TLC8VXI,"Britain and the Dhofar War in Oman, 1963–1976: A Covert War in Arabia",Book review by Ian F. W. Backett,https://doi.org/10.1080/09592318.2025.2547055
10,YHVJQTMD,I29B5XFM,AI and Early Warning Systems: Technology Innovation for National Security,Book review by Avner Barnea,https://doi.org/10.1080/08850607.2025.2515551
11,LYLPPKUC,I29B5XFM,AI and Early Warning Systems: Technology Innovation for National Security,Book review by Joel Brenner,https://doi.org/10.1080/08850607.2025.2527551
12,39ZJNW82,DY3BN8J2,The Triumph of Fear: Domestic Surveillance and Political Repression from McKinley to Eisenhower,Book review by Rhodri Jeffreys-Jones,https://doi.org/10.1080/02684527.2025.2544103
13,765A2Y23,5A86SRG3,The CIA Book Club: The Best Kept Secret of the Cold War,Book review by Ian McCallum,https://doi.org/10.1080/24750158.2025.2534217
14,ZB2QX8LD,Y6KSVJ58,"First Class Comrades: The Stasi in the Cold War, 1945-1961",Book review by Carolyn Halladay,https://doi.org/10.1080/08850607.2025.2525738
15,QKMN5QY6,VR3H48JB,The Determined Spy by Douglas Waller: The Turbulent Life and Times of CIA Pioneer Frank Wisner,Book review by Sarah-Jane Corke,https://doi.org/10.1080/08850607.2025.2553086
16,IC9FZQZK,VR3H48JB,The Determined Spy by Douglas Waller: The Turbulent Life and Times of CIA Pioneer Frank Wisner,Book review by JR Seeger and Ian B. Ericson,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-69-no-2-extracts-june-2025/review-the-determined-spy-the-turbulent-life-and-times-of-cia-pioneer-frank-wisner/
17,ANHYCXAY,E63UCHLH,Terrorist Informers in Northern Ireland,Book review by Thomas R. Mockaitis,https://doi.org/10.1080/09592318.2025.2517126
18,E572Y3QA,9D8I8JEZ,Caught in the Crossfire: The Inside Story of Pakistan’s Secret Services,Book review by Carl A. Wege,https://doi.org/10.1080/08850607.2025.2478911
19,8L68N3FK,STPG9SRI,Ian Fleming: The Complete Man,Book review by Anton Fedyashin,https://doi.org/10.1080/02684527.2025.2508075
21,WXJEQ6SR,2WGB4Y9H,The Oversight of Outsourcing US Intelligence After 9/11: Private Intelligence Contractors,Book review by Kai Chen,https://doi.org/10.1093/ia/iiaf198
22,B53UZECT,8MV4U8Z8,Covert Action: National Approaches to Unacknowledged Intervention,Book review by Aaron Paine,https://www.thecipherbrief.com/behind-the-mask-the-politics-of-hidden-intervention
23,ME93MKUY,2MULP4YW,The Spy and the State: The History of American Intelligence Get access Arrow,Book review by Ante Batistic,https://doi.org/10.1080/08850607.2025.2553098
24,MU7NGMVK,RFZQFTFR,Sexuality and Gender in Fictions of Espionage: Spying Undercover(s),Book review by Mark D. Kaufman,https://www.degruyterbrill.com/document/doi/10.1515/ang-2025-0018/html
