Country,Count
United States,809
UK,520
Russia,209
Israel,188
Ukraine,161
Japan,127
Australia,116
China,107
Germany,94
Oman,89
India,81
Iraq,76
Canada,74
France,56
Cuba,45
Ireland,40
Romania,35
Brazil,32
Egypt,31
Pakistan,28
South Africa,27
Afghanistan,26
Indonesia,23
United Kingdom,22
New Zealand,22
Spain,21
Sweden,19
Poland,19
Bangladesh,18
Niger,18
Mali,18
Italy,17
Netherlands,17
Slovakia,17
Austria,17
Nigeria,17
Norway,14
Greece,14
Chile,13
Mexico,13
Albania,12
Colombia,11
Denmark,11
Lebanon,11
Cyprus,10
Yemen,9
Sudan,9
Congo,9
Singapore,9
Kenya,9
Algeria,8
Finland,7
Bulgaria,7
Peru,7
Switzerland,7
Belgium,6
Argentina,6
Libya,6
Portugal,6
Jordan,6
Myanmar,6
Hong Kong,6
Ghana,6
Thailand,5
Uganda,5
Somalia,5
Tunisia,5
Serbia,5
Georgia,5
Morocco,5
Sri Lanka,5
Ecuador,4
Latvia,4
Hungary,4
Guatemala,4
South Sudan,4
Bosnia and Herzegovina,4
Saudi Arabia,4
Guinea,4
Lithuania,4
Türkiye,4
Uruguay,4
Cambodia,3
Haiti,3
Malaysia,3
Mozambique,3
Gibraltar,3
Angola,3
Kuwait,3
Estonia,3
Rwanda,2
Dominica,2
Croatia,2
Ethiopia,2
Botswana,2
Belarus,2
Namibia,2
Slovenia,2
Nepal,2
Zimbabwe,2
Bahamas,2
Philippines,2
Maldives,2
Costa Rica,2
Armenia,2
El Salvador,2
Cameroon,1
North Macedonia,1
Burundi,1
Benin,1
Dominican Republic,1
Malta,1
Antarctica,1
Nicaragua,1
Tajikistan,1
Kazakhstan,1
Mongolia,1
Cabo Verde,1
Gabon,1
Central African Republic,1
Chad,1
Azerbaijan,1
British Indian Ocean Territory,1
Jamaica,1
Paraguay,1
Bhutan,1
Zambia,1
Togo,1
Sierra Leone,1
Seychelles,1
Senegal,1
Mauritius,1
Mauritania,1
Madagascar,1
Lesotho,1
Burkina Faso,1
Guinea-Bissau,1
Gambia,1
Eswatini,1
Eritrea,1
Equatorial Guinea,1
Comoros,1
United Arab Emirates,1
