DOI,Title,dismissed_at
10.5281/zenodo.21068931,手机版鲍勃·库克和德国间谍(Bob Cook and the German Spy).apk,2026-07-01 22:42:23.187893
10.5281/zenodo.21068930,手机版鲍勃·库克和德国间谍(Bob Cook and the German Spy).apk,2026-07-01 22:42:23.188338
10.5281/zenodo.21073217,英式书国际间谍:日俄(The International Spy Being the Secret History of ).pdf,2026-07-01 22:42:23.188719
10.5281/zenodo.21073218,英式书国际间谍:日俄(The International Spy Being the Secret History of ).pdf,2026-07-01 22:42:23.189081
10.66766/risr.2026.1.08,"Itai SHAPIRA, Israeli National Intelligence Culture:Problem-Solving, Exceptionalism, and Pragmatism, London: Routledge, Studies in Intelligence Series, 2026, 258 p., presented by Cătălin DUMITRIUSTRATEGIC COMMUNICATION",2026-07-01 22:42:23.189484
10.1080/02684527.2026.2692801,Vatican spies: from the Second World War to Pope Francis,2026-07-01 22:42:23.189847
10.13140/rg.2.2.24815.80800,"The OSINT Alpha Gap: Telegram, Mainstream Media Lag, and the New Hedge Fund Intelligence Frontier",2026-07-01 22:42:23.190245
10.1080/02684527.2026.2692783,Contesting France: intelligence and US foreign policy in the early Cold War,2026-07-01 22:44:51.625819
10.1080/02684527.2026.2692846,Unveiling the art and science of virtual HUMINT: a methodological proposal for handling HUMINT sources online,2026-07-01 22:44:51.626311
10.5281/zenodo.20816836,Telegram's Espionage Pipeline: How the IRGC Recruits Israelis,2026-07-01 22:44:51.626680
10.5281/zenodo.20816837,Telegram's Espionage Pipeline: How the IRGC Recruits Israelis,2026-07-01 22:44:51.627032
10.1080/02684527.2026.2692794,"Cracking the crab: Russian espionage against Japan, from Peter the great to Richard Sorge",2026-07-01 22:44:51.627386
10.1080/02684527.2026.2692799,Time and narrative in intelligence analysis: a new framework for the production of meaning,2026-07-01 22:44:51.627658
10.1080/02684527.2026.2692795,"Superspy: Hans Tofte, intelligence officer For SOE, OSS, and CIA",2026-07-01 22:44:51.627925
10.5281/zenodo.20763040,"Counterintelligence Support of the Southern Borders of the United States: Transnational Threats, Critical Infrastructure, and Strategic Security in the Twenty-First Century",2026-07-01 22:44:51.628236
10.5281/zenodo.20754522,"Domestic Cloud Espionage: Federal, Military, and Law Enforcement Facilities Identified as Primary Hotspots for Surveillance of United States Citizens",2026-07-01 22:44:51.628514
10.1080/02684527.2026.2689284,Counterintelligence at its core: assessing and preventing foreign espionage,2026-07-01 22:44:51.628783
10.5281/zenodo.20733698,Defense Counterintelligence and Security Agency Defense Counterintelligence and Security Agency SPED090.06 PDF,2026-07-01 22:44:51.629164
10.5281/zenodo.20733699,Defense Counterintelligence and Security Agency Defense Counterintelligence and Security Agency SPED090.06 PDF,2026-07-01 22:44:51.629505
10.1080/18335330.2026.2682921,Operation Wrath of God: The secret history of European intelligence and Mossad’s assassination campaign,2026-07-01 22:44:51.629919
10.1080/08850607.2026.2685462,Statement of Retraction: “Covert Action and Intelligence: The Case of Operation Jungle”,2026-07-01 22:44:51.630395
10.5281/zenodo.20574872,Allies and Espionage: The Threat Assessment Reality,2026-07-01 22:44:51.630719
10.5281/zenodo.20574873,Allies and Espionage: The Threat Assessment Reality,2026-07-01 22:44:51.631046
10.1080/01611194.2026.2668389,Review of <i>Misread Signals: How History Overlooked Women Codebreakers</i>,2026-07-01 22:44:51.631413
10.1080/08850607.2026.2673371,Border Security Intelligence,2026-07-01 22:44:51.631730
10.1080/08850607.2026.2689324,A Concise Synthesis of an Enduring Spy Narrative,2026-07-01T22:47:32.093216
10.5281/zenodo.20973206,"The Verification Substrate (Verification Intelligence series, Paper 5 of 12)",2026-07-01T22:47:32.093557
10.1177/09683445261464541,"Book Review: <i>British ‘Spy Fever’ in the First World War: Fearing the Enemy Within</i> by Harry Richards RichardsHarry, British ‘Spy Fever’ in the First World War: Fearing the Enemy Within. Bloomsbury Academic, 2025. 304 pp. £85.00 hbk. ISBN 9781350523432",2026-07-01T22:47:32.093822
10.1080/18335330.2026.2690660,The intelligence intellectuals: Social scientists and the making of the CIA,2026-07-01T22:47:32.094080
10.5281/zenodo.20829140,From Bolshevism to the Digital Age: Analyzing Operation Trust and QAnon as Factional Intelligence Deception Campaigns,2026-07-01T22:47:32.094376
10.5281/zenodo.20829139,From Bolshevism to the Digital Age: Analyzing Operation Trust and QAnon as Factional Intelligence Deception Campaigns,2026-07-01T22:47:32.094627
10.1126/scirobotics.aei9833,Is your robot vacuum cleaner spying on you?,2026-07-01T22:47:32.094863
10.5281/zenodo.20473901,Institutional Counterintelligence Analysis (ICA) in Strategic Counterintelligence,2026-07-01T22:47:49.312801
10.1080/08850607.2026.2673372,"<i>Uncertain Threats: The FBI, the New Left, and Cold War Intelligence</i>",2026-07-01T22:47:49.313254
10.1177/09520767261453180,"Robust governance in response to societal turbulence: The conditioning role of multilevel governance, hybrid governance, and societal intelligence",2026-07-01T22:47:49.313588
10.1080/18335330.2026.2670301,"Iraqi Baathists in America's Cold War: Covert action, paramilitarism, and violence",2026-07-01T22:47:49.313947
10.1080/01611194.2026.2656863,Review of <i>Secret Messengers Disseminating SIGINT in the Second World War: The Story of the British SLUs and American SSOs</i> by David Abrutat and David Hatch,2026-07-01T22:47:49.314373
