Title,link,label,pubDate
DIGITALLY WATCHED WITHOUT CONSENT: SPYWARE AS A TOOL OF COERCIVE CONTROL,https://www.aspistrategist.org.au/digitally-watched-without-consent-spyware-as-a-tool-of-coercive-control/,Australian Strategic Policy Institute,"Mon, 18 May 2026 01:09:01 +0000"
THE INDO-PACIFIC COULD SHAPE CONTROL OF THE GROWING SPYWARE MARKET,https://www.aspistrategist.org.au/the-indo-pacific-could-shape-control-of-the-growing-spyware-market/,Australian Strategic Policy Institute,"Mon, 04 May 2026 05:30:26 +0000"
INTELLIGENCE – AN EXTENSION OF DIPLOMACY?,https://aboutintel.eu/intelligence-an-extension-of-diplomacy/,about:intel,"Tue, 25 Mar 2025 08:00:00 +0000"
LEGAL AND OVERSIGHT GAPS IN GERMANY’S MILITARY INTELLIGENCE,https://aboutintel.eu/germanys-military-intelligence/,about:intel,"Wed, 26 Jun 2024 10:21:20 +0000"
UPDATE ON THE IMPLICATIONS OF THE DUTCH TEMPORARY CYBER OPERATIONS ACT,https://aboutintel.eu/update-on-the-dutch-temporary-cyber-operations-act/,about:intel,"Thu, 16 May 2024 09:40:39 +0000"
WHY AND HOW GERMAN JUDICIAL INTELLIGENCE OVERSIGHT NEEDS EMPOWERMENT,https://aboutintel.eu/judicial-intelligence-oversight-needs-empowerment/,about:intel,"Tue, 30 Apr 2024 09:00:00 +0000"
THE PEGASUS SCANDAL IN POLAND – BETWEEN OLD PROBLEMS WITH STATE SURVEILLANCE AND THE CURRENT RULE OF LAW CRISIS,https://aboutintel.eu/pegasus-and-the-rule-of-law-crisis-in-poland/,about:intel,"Tue, 16 Jan 2024 14:42:43 +0000"
FINNISH INTELLIGENCE OVERSEERS’ RIGHT OF ACCESS SUPERSEDES ORIGINATOR CONTROL,https://aboutintel.eu/finnish-intelligence-overseers-right-of-access-supersedes-originator-control/,about:intel,"Mon, 23 Oct 2023 15:00:00 +0000"
CYBER DEFENCE OPERATIONS REQUIRE A DEDICATED LEGAL FRAMEWORK,https://aboutintel.eu/cyber-defence-requires-legal-framework/,about:intel,"Tue, 27 Jun 2023 11:00:00 +0000"
STALEMATES IN DUTCH INTELLIGENCE OVERSIGHT,https://aboutintel.eu/stalemates-in-dutch-intelligence-oversight/,about:intel,"Tue, 27 Jun 2023 08:00:00 +0000"
OBFUSCATION AS A STRATEGY TO PASS MASS SURVEILLANCE POWERS,https://aboutintel.eu/obfuscation-mass-surveillance-powers/,about:intel,"Tue, 13 Jun 2023 12:54:12 +0000"
